Year,n_cc_sites,n_nesting_attempts_degree_full,n_nesting_attempts_degree_half,n_nesting_attempts_degree_quarter
2002,2,0,0,0
2003,3,0,0,0
2004,3,9,3,2
2005,3,21,0,2
2006,3,0,0,0
2007,3,0,0,0
2008,3,0,6,0
2009,2,2,0,0
2010,32,1410,249,23
2011,16,214,26,1
2012,21,213,24,0
2013,2,16,0,0
2014,4,377,104,95
2015,6,843,245,209
2016,5,757,246,191
2017,12,1584,965,494
2018,38,8968,3809,1473
2019,56,16759,7354,2236
2020,34,10813,4481,1075
2021,52,19809,5941,2174
2022,68,21482,7711,3026
2023,79,43569,12882,3669
2024,78,29228,11426,3571
2025,65,17865,6559,1756
